sound quality was the same between the two  but the zen did have more sound adjustments with the normal eax features .	1
i bought mine in december of 2003  and have had no real problems with it .	1
set up was easy and we enjoyed it for just over a week .	0
the setup and transfer process was cake for me .	1
it plays basically every media i 've tested so far  even an old vcd that i ripped years ago and the rental dvd that could n't be played on my old $ 200 sharp player !	1
5 ) lack of good accessories - this is more of an oversight of creative 's marketing .	0
finally the software used to put all the songs into it is vastly inferior to itunes on two levels  first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format sucks  flat out sucks in terms of sound quality compared with the vastly superior aac format the apple ipod uses and it sticks you with one of the sub par paid music services such as napster instead of allowing to use the itunes store  which  if you ever plan to pay for your music  is by far the best .	0
3 ) 4x zoom is nice	1
get it  it 's woth every penny ! !	1
it 's a compact  attractive machine and was easy to set up .	1
the catch with the canon g3 camera  ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots .	0
video output stopped workin .	0
there were a few attractive features  such as the small size and the layout of the remote .	1
the software was great  as long as you have an adminstrative user account ( windows xp ) .	1
creative are * the * sound people for computers  i can 't understand why eax would introduce static .	0
in addition  it only seems to work if you 're about five feet away from the player  although that may have been just the batteries that came with it .	0
great feature list  poor reliability .	1
4 ) no fm or voice recording - these would have been nice extras .	0
only 1 problem  no accessories ... yet .	0
it will read and play all cd audio disc .	1
output went black and white only via both s-video and composite connections  and with no v-hold .	0
the free ( i didnt know they still did that ) carrying case is really protective  and to me its the only accessory you need ( except good headphones ) .	1
i 've had this for 3 months now  and i am pleased with my decision .	1
i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase !	1
-- > too difficult to change genre / album / track information for large number of tracks .	0
it still fits in the palm of your hand  and it 's not heavy .	1
but for what i do use it is perfect .	1
on the positive side  the sound of the player is pretty good  once you have everything configured .	1
7 . mediasource did not install on my personal notebook .	0
the dynamic playlists ( " now playing "  i belive creative calls it ) feels very awkward at times and some menus simply take to long to get to and operate .. .	0
first of all  i bought this dvd as a christmas present for my girlfriend and i am somewhat disappointed .	0
it sends discoutinous signals to tv  so the tv has the pictures for one moment and has only the white noise for the other moment .	0
the other thing i do n't like about this 2600 is that it makes the color look over saturated .	0
after multilple tries  one of the disks was finally recognized but video was poor and features not available .	0
as it stands now  the case is pretty useless unless you 're packing the player up for travel  or if you load up all your songs beforehand .	0
maybe it is my lack of experience  but i found shots with this camera very disappointing .	0
this dvd player plays raw mpeg2 and mpeg1 videos  jpeg  wma  cdr / cdrw / dvdr / dvdrw  and of course plays dvd movies from uk. i love the aiff  progressive scan feature .	1
apex is the best cheap quality brand for dvd players .	1
the 2nd dvd player had a faulty power supply which caused to occasionally not turn on .	0
the service from the supplier was exceptional .	1
amazon is awaesome !	1
well  it was nice while it lasted .	1
cheap construction - they should have made the player out of hard plastic and put some rubber on the corners .	0
the cool thing about the ad-2600 it plays alot of different file like mp3  wma cds  jpeg and kodak picture cds  dvd 's  dvd - / + r 's .	1
after about an hour it starts skipping like the dvd 's are dirty .	0
however the main reason i am not satisfied with this product is the fact that it will lock up at odd times .	0
all in all  trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift .	0
- the cover that came with it did n't fit very well	0
software - music match jukebox is n't the greatest  the search funtion is n't fast even when accessing it with the hotkey shortcut .	0
the sound level is also not as high as i would have expected .	0
for the price and features it is really good .	1
the leather case it comes with is pretty nice  similar to a pda style case and does hold and protect it perfectly .	1
nice machines  but i consider their quality pretty low now .	0
i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd  but it also was able to play vob files which i created with smart ripper .	1
the door would not close .	0
this player is an overall disappointment with a couple of big flaws that potential buyers should be wary of  and all readers need to know about a third party software company that resolves virtually all of the creative mediasource file transfer issues .	0
this player has worked flawlessly for me and at this price  you can 't go wrong .	1
the scroll button is overly sensitive at times  not sensitive enough at others .	0
the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds .	0
so yes  as with all software bundled with creative products  it was useless and ugly .	0
it sounds decent  but i would estimate you get maybe 80 % of the quality that you would from a true line out jack .	0
it practically plays almost everything you give it .	1
the canon g3 gives tons of control for photo buffs but still has an " auto " mode that makes it very easy for the novice to use .	1
tech support from apex is literally - nonexistent .	0
but after 10 days  the sound worked  but the video quit working .	0
1 ) the included lens cap is very loose on the camera .	0
i have yet to try using all of the adjustment options : shutter priority  aperature priority  light metering adjustments  etc.  but all controls are well thought out and and the manual is relatively clear .	1
it wo n't play all of my movies .	0
the first one would n't work from the start .	0
other plusses : changable battery  loads of presets for environments  decent construction  still quite small and light despite being slightly bigger than an ipod .	1
it is the most bang-for-the-buck out there .	1
after we discovered the problems  we tried to contact apex ( fkor 3 months )  but we never got in touch with them.the customer support telephone number is always busy  and they do not answer their web customer support .	0
it does n't have firewire  not a real complaint since most windows users do n't generally have firewire cards themselves .	0
overall  a very disappointing product .	0
the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light )  and the unsatisfactory light quality of the built-in flash .	0
